TARGET_FID,ORIG_SEQ,len_km,StartXUTM,EndXUTM,StartYUTM,EndYUTM,MidXUTM,MidYUTM,POPULATION,SPAWNMILES,NTOSORDER,STRATA,ACRES,HECTARES,TYPE,Shape_Leng,Shape_Length
33,33,0.419563173,414753.9374,414574.2057,4730450.777,4730232.915,414688.7875,4730321.956,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,419.5631995
34,36,0.00443919,413216.8853,413212.4903,4728975.629,4728976.254,413214.6878,4728975.942,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,4.439217274
35,35,0.999570548,413982.5782,413216.8853,4729512.333,4728975.629,413586.4977,4729250.37,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,999.5706195
36,34,0.999571855,414574.2057,413982.5782,4730232.915,4729512.333,414236.715,4729897.772,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,999.5717456
37,37,0.995135516,414753.9374,414384.5066,4730450.777,4731146.376,414469.3974,4730782.496,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,995.1354957
38,39,0.236940138,413787.7047,413585.2342,4731743.064,4731859.312,413678.4033,4731786.715,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,236.9400801
39,38,0.999578794,414384.5066,413787.7047,4731146.376,4731743.064,413999.6597,4731432.1,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,999.5787764
40,40,0.762584952,465699.7045,465961.4125,4732042.615,4732637.035,465811.633,4732349.456,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,762.5848667
41,44,0.996582485,467246.544,467918.1075,4734617.456,4735085.016,467563.8359,4734902.674,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,996.5827757
42,43,0.999514578,466862.0301,467246.544,4733850.169,4734617.456,467026.9817,4734235.917,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5141242
43,42,0.99951186,466442.9036,466862.0301,4733183.606,4733850.169,466647.2709,4733494.926,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5119884
44,41,0.999509724,465961.4125,466442.9036,4732637.035,4733183.606,466208.9889,4732894.519,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5098008
45,45,0.002934065,464199.767,464201.8507,4732379.782,4732377.716,464200.8089,4732378.749,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,2.934096485
46,48,0.097765154,464152.1864,464122.8099,4731011.446,4730923.035,464133.6906,4730967.309,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,97.76507478
47,47,0.999504956,464634.1939,464152.1864,4731707.123,4731011.446,464404.0067,4731326.171,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5049214
48,46,0.999507778,464201.8507,464634.1939,4732377.716,4731707.123,464470.2376,4732088.345,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5075953
49,49,0.901746661,462312.7669,462129.3993,4732409.782,4733198.192,462218.3256,4732801.205,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,901.7467163
