"","STRM_ORDER","LifeStage","dens","yr","PopGrp","ID_Num","UTM_E","UTM_N","WidthM","W3Dppt","MWMT_Index","StrmPow","SprPpt","IP_COHO","SolMean","StrmSlope","OUT_DIST","Panel","UTM_E_km","UTM_N_km","fYr","fSTRM_ORDER","est","est_non_rf","est_rf","epsilon_st"
"1",3,"Spwn",52.5,2005,"Necanicum",1790,430395,5095640,-0.575132895057406,-0.212292287199326,0.242143410385375,-0.774716861289006,-0.334246932691143,1.64707492920041,-0.305354841252217,0.10072403765573,-1.1176390298803,"once",430.395,5095.64,"2005","3",3.21131041112467,2.77185400734254,0.439456403782125,0.439456403782125
"2",3,"Spwn",157.5,2009,"Necanicum",1790,430395,5095640,-0.575132895057406,-0.787699883059714,0.420077297479503,-0.774716861289006,-0.879468636363289,1.64707492920041,-0.305354841252217,0.10072403765573,-1.1176390298803,"once",430.395,5095.64,"2009","3",4.00793899350226,2.75527116293256,1.2526678305697,1.2526678305697
"3",3,"Spwn",117.5,2012,"Necanicum",1790,430395,5095640,-0.575132895057406,-1.07350339170371,-0.53297224760197,-0.774716861289006,0.808850037380709,1.64707492920041,-0.305354841252217,0.10072403765573,-1.1176390298803,"once",430.395,5095.64,"2012","3",3.50913949841718,2.76904172301487,0.740097775402317,0.740097775402317
"4",2,"Spwn",0.8041171,1998,"Necanicum",1797,430486,5091933,-0.726901901018925,3.72567720058628,0.121902690901272,-0.0106679107687526,3.34952300099265,-0.0727768123117466,-0.305354841252217,-0.021329897498325,-1.06985196886984,"nine",430.486,5091.933,"1998","2",1.24064347154672,2.15030093521679,-0.909657463670069,-0.909657463670069
"5",2,"Spwn",21.71116,2005,"Necanicum",1797,429655,5092290,-0.726901901018925,1.07800413812829,0.666179602437659,-0.0106679107687526,0.973065810458843,-0.0727768123117466,-0.305354841252217,-0.021329897498325,-1.06985196886984,"nine",429.655,5092.29,"2005","2",2.56550670172347,2.12413127707637,0.441375424647107,0.441375424647107
"6",2,"Spwn",4.824702,2011,"Necanicum",1796,430486,5091933,-0.844605501957256,0.858520725572564,0.555497879190386,-0.0106679107687526,1.26943014923968,-0.0727768123117466,-0.138838688846256,-0.021329897498325,-1.05670224223396,"nine",430.486,5091.933,"2011","2",2.36757900679649,2.12939460924496,0.23818439755153,0.23818439755153
"7",2,"Spwn",0,2012,"Necanicum",1796,430486,5091933,-0.844605501957256,-0.547883375141679,-0.183187871479641,-0.0106679107687526,2.27000619764295,-0.0727768123117466,-0.138838688846256,-0.021329897498325,-1.05670224223396,"nine",430.486,5091.933,"2012","2",2.29612201075769,2.0991792715496,0.196942739208089,0.196942739208089
"8",3,"Spwn",0,2005,"Necanicum",1805,426809,5090828,-0.741138189685332,0.0584989360837162,-1.56419411859071,1.15277088609665,0.200760771594754,-0.0727768123117466,-1.43275767988485,0.865143300958282,-1.05496573599474,"annual",426.809,5090.828,"2005","3",3.07621513025646,2.66678399000918,0.40943114024728,0.40943114024728
"9",3,"Spwn",6.756757,2006,"Necanicum",1805,426809,5090828,-0.741138189685332,0.33480099829673,-1.2670062471079,1.15277088609665,-0.303446577952766,-0.0727768123117466,-1.43275767988485,0.865143300958282,-1.05496573599474,"annual",426.809,5090.828,"2006","3",2.01522040377567,2.67199691490551,-0.656776511129839,-0.656776511129839
"10",3,"Spwn",1.351351,2007,"Necanicum",1805,426809,5090828,-0.741138189685332,0.0851029860904713,-1.57018060517406,1.15277088609665,0.768152396415347,-0.0727768123117466,-1.43275767988485,0.865143300958282,-1.05496573599474,"annual",426.809,5090.828,"2007","3",2.18808633217197,2.60442004830668,-0.416333716134713,-0.416333716134713
