"","UTM_E_km","UTM_N_km","pred"
"583486",422.189,5119.943,26.0346758798412
"583487",424.189,5115.943,28.4611113178717
"583488",424.189,5114.943,28.0497049582312
"583489",425.189,5113.943,29.7578597954203
"583490",425.189,5112.943,29.3277088911779
"583491",426.189,5111.943,31.1136908785371
"583492",426.189,5110.943,30.6639413885626
"583493",426.189,5109.943,30.2206930431975
"583494",427.189,5108.943,32.0610554670382
"583495",427.189,5107.943,31.5976117887991
"583496",427.189,5106.943,31.1408672051397
"583497",428.189,5106.943,33.521825020312
"583498",427.189,5105.943,30.6907248804136
"583499",428.189,5105.943,33.0372658670841
"583500",428.189,5104.943,32.5597110333655
"583501",428.189,5103.943,32.0890592714727
"583502",429.189,5103.943,34.5425136326065
"583503",471.189,5103.943,256.740105870492
"583504",472.189,5103.943,204.831811061274
"583505",473.189,5103.943,163.418452603604
"583506",428.189,5102.943,31.6252107972609
"583507",429.189,5102.943,34.0432003897852
"583508",465.189,5102.943,568.119036777302
"583509",470.189,5102.943,352.397680319676
"583510",471.189,5102.943,281.149120932754
"583511",472.189,5102.943,224.305756296566
"583512",473.189,5102.943,178.955111582257
"583513",474.189,5102.943,156.360450720912
"583514",475.189,5102.943,138.28747173971
"583515",476.189,5102.943,122.303464539729
"583516",428.189,5101.943,31.1680672689689
"583517",429.189,5101.943,33.5511047373544
"583518",465.189,5101.943,541.788168165998
"583519",466.189,5101.943,555.838277329927
"583520",469.189,5101.943,483.695855283831
"583521",470.189,5101.943,385.901134163262
"583522",471.189,5101.943,307.878770764134
"583523",472.189,5101.943,245.631145118977
"583524",473.189,5101.943,199.189470874765
"583525",474.189,5101.943,176.166084182039
"583526",475.189,5101.943,155.803863927856
"583527",476.189,5101.943,137.795218231482
"583528",477.189,5101.943,121.868108330445
"583529",428.189,5100.943,30.7175317663687
"583530",429.189,5100.943,33.0661223447925
"583531",430.189,5100.943,35.6564262276655
"583532",465.189,5100.943,516.677668169268
"583533",466.189,5100.943,530.076590602212
"583534",467.189,5100.943,543.822985228022
"583535",468.189,5100.943,557.925862989588
"583536",469.189,5100.943,529.682201581953
"583537",470.189,5100.943,422.589857042759
"583538",471.189,5100.943,337.149684739387
"583539",472.189,5100.943,268.983999557676
"583540",473.189,5100.943,224.420107082786
"583541",474.189,5100.943,198.480428221755
"583542",475.189,5100.943,175.53899647931
"583543",476.189,5100.943,155.249258382978
"583544",477.189,5100.943,137.304716968149
"583545",478.189,5100.943,121.434301832198
"583546",428.189,5099.943,30.2735087702178
"583547",429.189,5099.943,32.5881503896792
"583548",430.189,5099.943,35.203154735274
"583549",462.189,5099.943,456.302724978751
"583550",464.189,5099.943,480.276050917552
"583551",465.189,5099.943,492.730975813854
"583552",466.189,5099.943,505.508892360221
"583553",467.189,5099.943,518.618176649394
"583554",468.189,5099.943,532.067421990037
"583555",469.189,5099.943,545.865444539766
"583556",470.189,5099.943,462.766681581888
"583557",471.189,5099.943,369.203468098003
"583558",472.189,5099.943,294.557076558832
"583559",473.189,5099.943,252.84662006414
"583560",474.189,5099.943,223.621252467549
"583561",475.189,5099.943,197.773909504783
"583562",476.189,5099.943,174.914140982563
"583563",477.189,5099.943,154.69662703375
"583564",478.189,5099.943,68.4072535028359
"583565",479.189,5099.943,60.5003764823469
"583566",428.189,5098.943,29.8359041420078
"583567",429.189,5098.943,32.1170875358961
"583568",430.189,5098.943,34.7556453191069
"583569",431.189,5098.943,38.6255701529012
"583570",460.189,5098.943,413.293314542573
"583571",461.189,5098.943,424.154718264146
"583572",462.189,5098.943,435.154257279884
"583573",463.189,5098.943,446.439045647684
"583574",464.189,5098.943,458.016480695082
"583575",465.189,5098.943,469.894151583371
"583576",466.189,5098.943,482.079844282396
"583577",467.189,5098.943,494.581546674358
"583578",468.189,5098.943,507.40745378998
"583579",469.189,5098.943,520.565973180452
"583580",470.189,5098.943,506.763231566734
"583581",471.189,5098.943,404.304696179562
"583582",472.189,5098.943,322.561459021957
"583583",473.189,5098.943,284.873820393804
"583584",474.189,5098.943,251.946577318369
"583585",475.189,5098.943,222.825241486534
"583586",476.189,5098.943,197.069905739547
"583587",477.189,5098.943,174.29150974595
"583588",478.189,5098.943,77.0721619417213
"583589",479.189,5098.943,68.1637483602413
"583590",480.189,5098.943,60.2850169693129
"583591",428.189,5097.943,29.4046251040056
"583592",429.189,5097.943,31.6528339121417
"583593",430.189,5097.943,34.3138247305197
"583594",458.189,5097.943,356.765773076117
"583595",459.189,5097.943,375.523872721982
"583596",460.189,5097.943,394.271642875057
"583597",461.189,5097.943,404.496228696834
"583598",462.189,5097.943,414.985967128787
"583599",463.189,5097.943,425.747734332739
"583600",464.189,5097.943,436.788584788961
"583601",465.189,5097.943,448.115755920469
"583602",466.189,5097.943,459.736672837264
"583603",467.189,5097.943,471.658953203576
"583604",468.189,5097.943,483.89041223135
"583605",469.189,5097.943,496.43906780322
"583606",470.189,5097.943,509.313145728335
"583607",471.189,5097.943,442.743098256752
"583608",472.189,5097.943,362.904208120994
"583609",473.189,5097.943,320.957794591737
"583610",474.189,5097.943,283.859772369588
"583611",475.189,5097.943,251.049738400057
"583612",476.189,5097.943,222.032064017429
"583613",477.189,5097.943,98.1831600354447
"583614",478.189,5097.943,86.834624140036
"583615",479.189,5097.943,76.7978128511981
"583616",480.189,5097.943,67.9211100081029
"583617",481.189,5097.943,60.0704240584482
"583618",482.189,5097.943,53.1271624702734
"583619",483.189,5097.943,46.9864402721138
