"","STRM_ORDER","LifeStage","dens","yr","PopGrp","ID_Num","UTM_E","UTM_N","WidthM","W3Dppt","MWMT_Index","StrmPow","SprPpt","IP_COHO","SolMean","StrmSlope","OUT_DIST","Panel","UTM_E_km","UTM_N_km","fYr","fSTRM_ORDER","est","est_non_rf","est_rf","epsilon_st"
"1",3,"Spwn",52.5,2005,"Necanicum",1790,430395,5095640,-0.573893853215155,-0.210329440772929,0.22920600418375,-0.7730480688822,-0.315282040674729,1.643879319833,-0.303874603057111,0.101862728806942,-1.11790404246504,"once",430.395,5095.64,"2005","3",3.16409795942061,2.56156129335407,0.602536666066539,0.602536666066539
"2",3,"Spwn",157.5,2009,"Necanicum",1790,430395,5095640,-0.573893853215155,-0.780770527278444,0.407445384869393,-0.7730480688822,-0.865578949194691,1.643879319833,-0.303874603057111,0.101862728806942,-1.11790404246504,"once",430.395,5095.64,"2009","3",3.99362646386849,2.54450824166191,1.44911822220658,1.44911822220658
"3",3,"Spwn",117.5,2012,"Necanicum",1790,430395,5095640,-0.573893853215155,-1.06410718319136,-0.547240445088299,-0.7730480688822,0.838455465613781,1.643879319833,-0.303874603057111,0.101862728806942,-1.11790404246504,"once",430.395,5095.64,"2012","3",3.47111511627679,2.66882325065976,0.80229186561703,0.80229186561703
"4",2,"Spwn",0.8041171,1998,"Necanicum",1797,430486,5091933,-0.7251517805218,3.69365029359094,0.108758844151186,-0.011895455998534,3.40277832367194,-0.0730331843787803,-0.303874603057111,-0.0204407527233017,-1.07021790226831,"nine",430.486,5091.933,"1998","2",1.26974439350645,2.07073102401814,-0.800986630511685,-0.800986630511685
"5",2,"Spwn",21.71116,2005,"Necanicum",1797,429655,5092290,-0.7251517805218,1.06883006298283,0.653970221354566,-0.011895455998534,1.00419984381163,-0.0730331843787803,-0.303874603057111,-0.0204407527233017,-1.07021790226831,"nine",429.655,5092.29,"2005","2",2.65760954729138,2.04509288347137,0.612516663820013,0.612516663820013
"6",2,"Spwn",4.824702,2011,"Necanicum",1796,430486,5091933,-0.842459017277205,0.851241075230564,0.543098469340417,-0.011895455998534,1.30332289472511,-0.0730331843787803,-0.137609211785255,-0.0204407527233017,-1.05709594635288,"nine",430.486,5091.933,"2011","2",2.45964277292513,2.08109252595727,0.378550246967863,0.378550246967863
"7",2,"Spwn",0,2012,"Necanicum",1796,430486,5091933,-0.842459017277205,-0.543023944989818,-0.196855526331497,-0.011895455998534,2.31321282109263,-0.0730331843787803,-0.137609211785255,-0.0204407527233017,-1.05709594635288,"nine",430.486,5091.933,"2012","2",2.4396788969679,2.18322139942176,0.256457497546132,0.256457497546132
"8",3,"Spwn",0,2005,"Necanicum",1805,426809,5090828,-0.73934012881187,0.0581245051551946,-1.58023281453668,1.14713300619795,0.224705791284228,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.809,5090.828,"2005","3",3.03242787296768,2.45779549363139,0.574632379336296,0.574632379336296
"9",3,"Spwn",6.756757,2006,"Necanicum",1805,426809,5090828,-0.73934012881187,0.332041724368874,-1.28253470303328,1.14713300619795,-0.28419498034736,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.809,5090.828,"2006","3",1.94090503838677,2.41934418298407,-0.478439144597299,-0.478439144597299
"10",3,"Spwn",1.351351,2007,"Necanicum",1805,426809,5090828,-0.73934012881187,0.0844989279130455,-1.58622957928186,1.14713300619795,0.797378990014121,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.809,5090.828,"2007","3",2.13126066701534,2.43292187248487,-0.301661205469534,-0.301661205469534
"11",3,"Spwn",10.81081,2009,"Necanicum",1805,426809,5090828,-0.73934012881187,-0.621016880859463,-1.37843881265182,1.14713300619795,-0.668587680025114,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.809,5090.828,"2009","3",3.74135750148685,2.45068355515308,1.29067394633377,1.29067394633377
"12",3,"Spwn",8.108108,2010,"Necanicum",1805,426809,5090828,-0.73934012881187,0.911525470105652,-2.08971953583357,1.14713300619795,-0.279000484405769,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.809,5090.828,"2010","3",3.41860679255827,2.59645646632263,0.822150326235644,0.822150326235644
"13",3,"Spwn",2.702703,2011,"Necanicum",1805,426809,5090828,-0.73934012881187,0.284567763404742,-1.55026222870208,1.14713300619795,0.419938923365881,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.809,5090.828,"2011","3",2.77296079829748,2.44402728773848,0.328933510558998,0.328933510558998
"14",3,"Spwn",1.351351,2012,"Necanicum",1805,426809,5090828,-0.73934012881187,-0.864980291369583,-2.12368796483161,1.14713300619795,1.40129907971574,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.809,5090.828,"2012","3",2.42380671849704,2.51352499515074,-0.0897182766537,-0.0897182766537
"15",3,"Spwn",0,2013,"Necanicum",1805,426809,5090828,-0.73934012881187,-0.325623345971534,-2.05974894999897,1.14713300619795,1.3793223661167,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.809,5090.828,"2013","3",1.98036840492484,2.5047373779265,-0.524368973001659,-0.524368973001659
"16",3,"Spwn",0,2015,"Necanicum",1805,426809,5090828,-0.73934012881187,-0.142886274006425,-1.79202142433016,1.14713300619795,1.06693337172162,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.809,5090.828,"2015","3",1.78769079426042,2.46301034473444,-0.675319550474015,-0.675319550474015
"17",3,"Spwn",0,2016,"Necanicum",1805,426784,5090809,-0.73934012881187,-0.374416028073558,-1.41440175060117,1.14713300619795,1.11807917791575,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.784,5090.809,"2016","3",2.31648712367635,2.37797513780676,-0.0614880141304147,-0.0614880141304147
"18",3,"Spwn",0,2017,"Necanicum",1805,426784,5090809,-0.73934012881187,0.253483622297275,-1.01120647093911,1.14713300619795,-0.719174078963995,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.784,5090.809,"2017","3",1.9219180057347,2.38058849368639,-0.458670487951696,-0.458670487951696
"19",3,"Spwn",0,2018,"Necanicum",1805,426784,5090809,-0.73934012881187,0.75704670823824,-1.49112415576992,1.14713300619795,-1.1262227724793,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.784,5090.809,"2018","3",1.13666040767237,2.50591897517794,-1.36925856750556,-1.36925856750556
"20",3,"Spwn",1.388889,2019,"Necanicum",1805,426784,5090809,-0.73934012881187,-0.208426714559684,-2.07933220381728,1.14713300619795,1.65964134172162,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.784,5090.809,"2019","3",2.49689018279272,2.49689018279272,0,0
"21",4,"Spwn",6.796117,1998,"Necanicum",1810,428603,5090739,0.473003559902195,2.76169122656888,-0.634116312860907,-0.669504244850807,2.17360075324709,1.57235612936808,0.0161704977145048,0.664245219303589,-1.0631674965194,"nine",428.603,5090.739,"1998","4",1.95945050673947,2.72898415561013,-0.769533648870669,-0.769533648870669
"22",4,"Spwn",33.33333,2016,"Necanicum",1810,428603,5090739,0.473003559902195,-0.374416028073558,-0.101908957514795,-0.669504244850807,1.11807917791575,1.57235612936808,0.0161704977145048,0.664245219303589,-1.0631674965194,"nine",428.603,5090.739,"2016","4",2.59156012733428,2.64062247274942,-0.0490623454151428,-0.0490623454151428
"23",4,"Spwn",66.66666,2010,"Necanicum",16043,429973,5090303,0.377738935668864,0.800564505788694,-0.918457392073185,-0.669504244850807,0.229340879970571,0.815051759739526,-0.250618616360044,0.664245219303589,-1.04292899596434,"annual",429.973,5090.303,"2010","4",3.66989637004743,2.7722410549824,0.897655315065027,0.897655315065027
"24",4,"Spwn",6.666667,2013,"Necanicum",16043,429973,5090303,0.377738935668864,0.367270417624003,-0.921391791304633,-0.669504244850807,2.57046024318467,0.815051759739526,-0.250618616360044,0.664245219303589,-1.04292899596434,"annual",429.973,5090.303,"2013","4",2.13541614498521,2.66199819362625,-0.526582048641039,-0.526582048641039
"25",4,"Spwn",53.33333,2001,"Necanicum",16043,430061,5090300,0.377738935668864,0.0864958484932827,-0.799025137037964,-0.669504244850807,1.69993464716393,0.878160457208571,-0.241822700970338,0.664245219303589,-1.04292899596434,"annual",430.061,5090.3,"2001","4",3.97523906733218,2.67984532693549,1.29539374039669,1.29539374039669
