"","STRM_ORDER","LifeStage","dens","yr","PopGrp","ID_Num","UTM_E","UTM_N","WidthM","W3Dppt","MWMT_Index","StrmPow","SprPpt","IP_COHO","SolMean","StrmSlope","OUT_DIST","Panel","UTM_E_km","UTM_N_km","fYr","fSTRM_ORDER","est","est_non_rf","est_rf","epsilon_st"
"1",3,"Spwn",52.5,2005,"Necanicum",1790,430395,5095640,-0.575132895057406,-0.212292287199326,0.242143410385375,-0.774716861289006,-0.334246932691143,1.64707492920041,-0.305354841252217,0.10072403765573,-1.1176390298803,"once",430.395,5095.64,"2005","3",3.14346922831884,2.50046964905418,0.642999579264653,0.642999579264653
"2",3,"Spwn",157.5,2009,"Necanicum",1790,430395,5095640,-0.575132895057406,-0.787699883059714,0.420077297479503,-0.774716861289006,-0.879468636363289,1.64707492920041,-0.305354841252217,0.10072403765573,-1.1176390298803,"once",430.395,5095.64,"2009","3",3.98465377354345,2.47080647701994,1.51384729652351,1.51384729652351
"3",3,"Spwn",117.5,2012,"Necanicum",1790,430395,5095640,-0.575132895057406,-1.07350339170371,-0.53297224760197,-0.774716861289006,0.808850037380709,1.64707492920041,-0.305354841252217,0.10072403765573,-1.1176390298803,"once",430.395,5095.64,"2012","3",3.45486925763911,2.59347824909896,0.861391008540145,0.861391008540145
"4",2,"Spwn",0.8041171,1998,"Necanicum",1797,430486,5091933,-0.726901901018925,3.72567720058628,0.121902690901272,-0.0106679107687526,3.34952300099265,-0.0727768123117466,-0.305354841252217,-0.021329897498325,-1.06985196886984,"nine",430.486,5091.933,"1998","2",1.29235208674053,2.11312085449972,-0.820768767759193,-0.820768767759193
"5",2,"Spwn",21.71116,2005,"Necanicum",1797,429655,5092290,-0.726901901018925,1.07800413812829,0.666179602437659,-0.0106679107687526,0.973065810458843,-0.0727768123117466,-0.305354841252217,-0.021329897498325,-1.06985196886984,"nine",429.655,5092.29,"2005","2",2.67916515802929,2.02825582531757,0.650909332711718,0.650909332711718
"6",2,"Spwn",4.824702,2011,"Necanicum",1796,430486,5091933,-0.844605501957256,0.858520725572564,0.555497879190386,-0.0106679107687526,1.26943014923968,-0.0727768123117466,-0.138838688846256,-0.021329897498325,-1.05670224223396,"nine",430.486,5091.933,"2011","2",2.46871129809669,2.06099793955652,0.407713358540163,0.407713358540163
"7",2,"Spwn",0,2012,"Necanicum",1796,430486,5091933,-0.844605501957256,-0.547883375141679,-0.183187871479641,-0.0106679107687526,2.27000619764295,-0.0727768123117466,-0.138838688846256,-0.021329897498325,-1.05670224223396,"nine",430.486,5091.933,"2012","2",2.45111144264809,2.13830256064332,0.312808882004766,0.312808882004766
"8",3,"Spwn",0,2005,"Necanicum",1805,426809,5090828,-0.741138189685332,0.0584989360837162,-1.56419411859071,1.15277088609665,0.200760771594754,-0.0727768123117466,-1.43275767988485,0.865143300958282,-1.05496573599474,"annual",426.809,5090.828,"2005","3",3.01135231822532,2.40119205779253,0.610160260432786,0.610160260432786
"9",3,"Spwn",6.756757,2006,"Necanicum",1805,426809,5090828,-0.741138189685332,0.33480099829673,-1.2670062471079,1.15277088609665,-0.303446577952766,-0.0727768123117466,-1.43275767988485,0.865143300958282,-1.05496573599474,"annual",426.809,5090.828,"2006","3",1.91658360707452,2.36680713970815,-0.450223532633626,-0.450223532633626
"10",3,"Spwn",1.351351,2007,"Necanicum",1805,426809,5090828,-0.741138189685332,0.0851029860904713,-1.57018060517406,1.15277088609665,0.768152396415347,-0.0727768123117466,-1.43275767988485,0.865143300958282,-1.05496573599474,"annual",426.809,5090.828,"2007","3",2.10616381923158,2.3803356165066,-0.274171797275017,-0.274171797275017
"11",3,"Spwn",10.81081,2009,"Necanicum",1805,426809,5090828,-0.741138189685332,-0.626555351590226,-1.36274598176746,1.15277088609665,-0.684294151967146,-0.0727768123117466,-1.43275767988485,0.865143300958282,-1.05496573599474,"annual",426.809,5090.828,"2009","3",3.72779818584748,2.37750277562956,1.35029541021792,1.35029541021792
"12",3,"Spwn",8.108108,2010,"Necanicum",1805,426809,5090828,-0.741138189685332,0.919329982730862,-2.07280760453569,1.15277088609665,-0.298299989114734,-0.0727768123117466,-1.43275767988485,0.865143300958282,-1.05496573599474,"annual",426.809,5090.828,"2010","3",3.41044467261276,2.54863208385023,0.861812588762532,0.861812588762532
"13",3,"Spwn",2.702703,2011,"Necanicum",1805,426809,5090828,-0.741138189685332,0.28691370828457,-1.53427490087618,1.15277088609665,0.394193333614948,-0.0727768123117466,-1.43275767988485,0.865143300958282,-1.05496573599474,"annual",426.809,5090.828,"2011","3",2.75342115239791,2.39303083907622,0.360390313321687,0.360390313321687
"14",3,"Spwn",1.351351,2012,"Necanicum",1805,426809,5090828,-0.741138189685332,-0.87264281415271,-2.10671781330578,1.15277088609665,1.36650273255395,-0.0727768123117466,-1.43275767988485,0.865143300958282,-1.05496573599474,"annual",426.809,5090.828,"2012","3",2.41189069368718,2.44326171399965,-0.0313710203124652,-0.0313710203124652
"15",3,"Spwn",0,2013,"Necanicum",1805,426809,5090828,-0.741138189685332,-0.328589991514569,-2.04288838682115,1.15277088609665,1.34472870285458,-0.0727768123117466,-1.43275767988485,0.865143300958282,-1.05496573599474,"annual",426.809,5090.828,"2013","3",1.95081089726436,2.444732655559,-0.493921758294634,-0.493921758294634
"16",3,"Spwn",0,2015,"Necanicum",1805,426809,5090828,-0.741138189685332,-0.144261930753481,-1.77561973305287,1.15277088609665,1.03522076796431,-0.0727768123117466,-1.43275767988485,0.865143300958282,-1.05496573599474,"annual",426.809,5090.828,"2015","3",1.76841698504449,2.40639985088821,-0.637982865843727,-0.637982865843727
"17",3,"Spwn",0,2016,"Necanicum",1805,426784,5090809,-0.741138189685332,-0.377807484027066,-1.39864728099795,1.15277088609665,1.08589487344647,-0.0727768123117466,-1.43275767988485,0.865143300958282,-1.05496573599474,"annual",426.784,5090.809,"2016","3",2.29940719550965,2.32022240647437,-0.0208152109647143,-0.0208152109647143
