"","UTM_E_km","UTM_N_km","PopGrp","ID_Num","UTM_E","UTM_N","STRM_ORDER","LifeStage","dens","yr","WidthM","W3Dppt","MWMT_Index","StrmPow","SprPpt","IP_COHO","SolMean","StrmSlope","OUT_DIST","fYr","fSTRM_ORDER","pred_nd_2019","pred_nd_2080"
"86621",429.744,4909.689,"Alsea",2969,429744,4909689,3,0,0,2019,-0.673298261195063,1.06668812024093,-1.97918903840171,0.822287494223838,-0.200250396817897,-0.0564479216196119,-1.65715521201815,0.842295672887665,-1.05610898657062,"2019","1",163.43459575349,103.408359625737
"86721",445.46,4911.338,"Alsea",35004,445460,4911338,3,0,0,2019,-0.673298261195063,-0.333998992574977,-1.95222012137392,0.822287494223838,1.58608558558955,-0.0564479216196119,-1.65715521201815,0.842295672887665,-1.05610898657062,"2019","1",298.476516102334,128.509971914608
"86821",445.46,4911.338,"Alsea",35004,445460,4911338,3,0,0,2019,-0.673298261195063,-0.333998992574977,-1.95222012137392,0.822287494223838,1.58608558558955,-0.0564479216196119,-1.65715521201815,0.842295672887665,-1.05610898657062,"2019","1",298.476516102334,128.509971914608
"86921",445.46,4911.338,"Alsea",35004,445460,4911338,3,0,0,2019,-0.673298261195063,-0.333998992574977,-1.95222012137392,0.822287494223838,1.58608558558955,-0.0564479216196119,-1.65715521201815,0.842295672887665,-1.05610898657062,"2019","1",298.476516102334,128.509971914608
"87021",448.325,4912.748,"Alsea",35272,448325,4912748,3,0,0,2019,-0.673298261195063,-0.333998992574977,-1.95222012137392,0.822287494223838,1.58608558558955,-0.0564479216196119,-1.65715521201815,0.842295672887665,-1.05610898657062,"2019","1",417.700920744619,172.200241724009
"87621",424.688,4925.135,"Alsea",2879,424688,4925135,3,0,0,2019,-0.673298261195063,-0.127105864050644,-1.71129975006899,0.822287494223838,1.24958197697424,-0.0564479216196119,-1.65715521201815,0.842295672887665,-1.05610898657062,"2019","1",459.198686693686,307.513382139807
"87721",425.614,4926.497,"Alsea",2880,425614,4926497,3,0,0,2019,-0.673298261195063,-0.127105864050644,-1.71129975006899,0.822287494223838,1.24958197697424,-0.0564479216196119,-1.65715521201815,0.842295672887665,-1.05610898657062,"2019","1",459.376062919077,279.19667936521
"87821",425.614,4926.497,"Alsea",2880,425614,4926497,3,0,0,2019,-0.673298261195063,-0.127105864050644,-1.71129975006899,0.822287494223838,1.24958197697424,-0.0564479216196119,-1.65715521201815,0.842295672887665,-1.05610898657062,"2019","1",459.376062919077,279.19667936521
"87921",425.614,4926.497,"Alsea",2880,425614,4926497,3,0,0,2019,-0.673298261195063,-0.127105864050644,-1.71129975006899,0.822287494223838,1.24958197697424,-0.0564479216196119,-1.65715521201815,0.842295672887665,-1.05610898657062,"2019","1",459.376062919077,279.19667936521
"88021",425.614,4926.497,"Alsea",2880,425614,4926497,3,0,0,2019,-0.673298261195063,-0.127105864050644,-1.71129975006899,0.822287494223838,1.24958197697424,-0.0564479216196119,-1.65715521201815,0.842295672887665,-1.05610898657062,"2019","1",459.376062919077,279.19667936521
