"","STRM_ORDER","LifeStage","dens","yr","PopGrp","ID_Num","UTM_E","UTM_N","WidthM","W3Dppt","MWMT_Index","StrmPow","SprPpt","IP_COHO","SolMean","StrmSlope","OUT_DIST","Panel","UTM_E_km","UTM_N_km","fYr","fSTRM_ORDER","est","est_non_rf","est_rf","epsilon_st"
"1",3,"Spwn",52.5,2005,"Necanicum",1790,430395,5095640,-0.573893853215155,-0.210329440772929,0.22920600418375,-0.7730480688822,-0.315282040674729,1.643879319833,-0.303874603057111,0.101862728806942,-1.11790404246504,"once",430.395,5095.64,"2005","3",3.24201319436383,2.83567878804085,0.406334406322978,0.406334406322978
"2",3,"Spwn",157.5,2009,"Necanicum",1790,430395,5095640,-0.573893853215155,-0.780770527278444,0.407445384869393,-0.7730480688822,-0.865578949194691,1.643879319833,-0.303874603057111,0.101862728806942,-1.11790404246504,"once",430.395,5095.64,"2009","3",4.01890352845112,2.8307155641781,1.18818796427302,1.18818796427302
"3",3,"Spwn",117.5,2012,"Necanicum",1790,430395,5095640,-0.573893853215155,-1.06410718319136,-0.547240445088299,-0.7730480688822,0.838455465613781,1.643879319833,-0.303874603057111,0.101862728806942,-1.11790404246504,"once",430.395,5095.64,"2012","3",3.51939514467883,2.8240504514886,0.695344693190233,0.695344693190233
"4",2,"Spwn",0.8041171,1998,"Necanicum",1797,430486,5091933,-0.7251517805218,3.69365029359094,0.108758844151186,-0.011895455998534,3.40277832367194,-0.0730331843787803,-0.303874603057111,-0.0204407527233017,-1.07021790226831,"nine",430.486,5091.933,"1998","2",1.16796780012891,2.06972361803378,-0.901755817904873,-0.901755817904873
"5",2,"Spwn",21.71116,2005,"Necanicum",1797,429655,5092290,-0.7251517805218,1.06883006298283,0.653970221354566,-0.011895455998534,1.00419984381163,-0.0730331843787803,-0.303874603057111,-0.0204407527233017,-1.07021790226831,"nine",429.655,5092.29,"2005","2",2.50334910496714,2.09535841726434,0.407990687702798,0.407990687702798
"6",2,"Spwn",4.824702,2011,"Necanicum",1796,430486,5091933,-0.842459017277205,0.851241075230564,0.543098469340417,-0.011895455998534,1.30332289472511,-0.0730331843787803,-0.137609211785255,-0.0204407527233017,-1.05709594635288,"nine",430.486,5091.933,"2011","2",2.31902541731639,2.09807999860417,0.220945418712214,0.220945418712214
"7",2,"Spwn",0,2012,"Necanicum",1796,430486,5091933,-0.842459017277205,-0.543023944989818,-0.196855526331497,-0.011895455998534,2.31321282109263,-0.0730331843787803,-0.137609211785255,-0.0204407527233017,-1.05709594635288,"nine",430.486,5091.933,"2012","2",2.22134927976843,2.06501884617285,0.156330433595575,0.156330433595575
"8",3,"Spwn",0,2005,"Necanicum",1805,426809,5090828,-0.73934012881187,0.0581245051551946,-1.58023281453668,1.14713300619795,0.224705791284228,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.809,5090.828,"2005","3",3.09484757906197,2.71749968758325,0.377347891478715,0.377347891478715
"9",3,"Spwn",6.756757,2006,"Necanicum",1805,426809,5090828,-0.73934012881187,0.332041724368874,-1.28253470303328,1.14713300619795,-0.28419498034736,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.809,5090.828,"2006","3",2.0396421980379,2.72739297160396,-0.68775077356606,-0.68775077356606
"10",3,"Spwn",1.351351,2007,"Necanicum",1805,426809,5090828,-0.73934012881187,0.0844989279130455,-1.58622957928186,1.14713300619795,0.797378990014121,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.809,5090.828,"2007","3",2.20336353913075,2.64719194793282,-0.443828408802067,-0.443828408802067
"11",3,"Spwn",10.81081,2009,"Necanicum",1805,426809,5090828,-0.73934012881187,-0.621016880859463,-1.37843881265182,1.14713300619795,-0.668587680025114,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.809,5090.828,"2009","3",3.77382227359201,2.74453521208615,1.02928706150586,1.02928706150586
"12",3,"Spwn",8.108108,2010,"Necanicum",1805,426809,5090828,-0.73934012881187,0.911525470105652,-2.08971953583357,1.14713300619795,-0.279000484405769,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.809,5090.828,"2010","3",3.49595527383836,2.95257373704019,0.543381536798167,0.543381536798167
"13",3,"Spwn",2.702703,2011,"Necanicum",1805,426809,5090828,-0.73934012881187,0.284567763404742,-1.55026222870208,1.14713300619795,0.419938923365881,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.809,5090.828,"2011","3",2.86769955282857,2.69842242934571,0.16927712348286,0.16927712348286
"14",3,"Spwn",1.351351,2012,"Necanicum",1805,426809,5090828,-0.73934012881187,-0.864980291369583,-2.12368796483161,1.14713300619795,1.40129907971574,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.809,5090.828,"2012","3",2.43673880407533,2.64339950370462,-0.206660699629286,-0.206660699629286
"15",3,"Spwn",0,2013,"Necanicum",1805,426809,5090828,-0.73934012881187,-0.325623345971534,-2.05974894999897,1.14713300619795,1.3793223661167,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.809,5090.828,"2013","3",2.07803080494006,2.66203254937715,-0.584001744437088,-0.584001744437088
"16",3,"Spwn",0,2015,"Necanicum",1805,426809,5090828,-0.73934012881187,-0.142886274006425,-1.79202142433016,1.14713300619795,1.06693337172162,-0.0730331843787803,-1.42957965555715,0.867844891796467,-1.05536310741646,"annual",426.809,5090.828,"2015","3",2.64868205903728,2.64868205903728,0,0
"17",4,"Spwn",6.796117,1998,"Necanicum",1810,428603,5090739,0.473003559902195,2.76169122656888,-0.634116312860907,-0.669504244850807,2.17360075324709,1.57235612936808,0.0161704977145048,0.664245219303589,-1.0631674965194,"nine",428.603,5090.739,"1998","4",2.07590018278524,2.9568685055278,-0.880968322742559,-0.880968322742559
"18",4,"Spwn",66.66666,2010,"Necanicum",16043,429973,5090303,0.377738935668864,0.800564505788694,-0.918457392073185,-0.669504244850807,0.229340879970571,0.815051759739526,-0.250618616360044,0.664245219303589,-1.04292899596434,"annual",429.973,5090.303,"2010","4",3.66480513956017,3.0579925252156,0.60681261434457,0.60681261434457
"19",4,"Spwn",6.666667,2013,"Necanicum",16043,429973,5090303,0.377738935668864,0.367270417624003,-0.921391791304633,-0.669504244850807,2.57046024318467,0.815051759739526,-0.250618616360044,0.664245219303589,-1.04292899596434,"annual",429.973,5090.303,"2013","4",2.13911304112612,2.73425619857946,-0.595143157453338,-0.595143157453338
