"","test_years","n_years_ahead","mod","sp","st","survey_GRTS_type","survey_pop_type","rmse","AIC"
"85",2021,1,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",397.104474743995,39167.5471295554
"86",2017,2,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",367.878959740174,30554.9141828248
"87",2018,2,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",318.176427634155,32192.4805025065
"88",2019,2,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",358.191299253163,34048.586487099
"89",2020,2,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",334.342790330915,35829.5416867138
"90",2021,2,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",391.490825202635,37662.2603569762
"91",2017,0,1,TRUE,"iid","annual,annua","all groups",358.601378361289,32885.6277798768
"92",2018,0,1,TRUE,"iid","annual,annua","all groups",327.693504036343,33533.0463638983
"93",2019,0,1,TRUE,"iid","annual,annua","all groups",331.489317912028,34199.1728189152
"94",2020,0,1,TRUE,"iid","annual,annua","all groups",312.516827435244,34875.5969773485
"95",2021,0,1,TRUE,"iid","annual,annua","all groups",349.457184696691,35497.2275990401
"96",2017,1,1,TRUE,"iid","annual,annua","all groups",364.768559060545,31239.1717911215
"97",2018,1,1,TRUE,"iid","annual,annua","all groups",328.160804987609,31945.4116676272
"98",2019,1,1,TRUE,"iid","annual,annua","all groups",366.480973980219,32592.9927243052
"99",2020,1,1,TRUE,"iid","annual,annua","all groups",328.624770465437,33259.2004250157
"100",2021,1,1,TRUE,"iid","annual,annua","all groups",411.52900390049,33935.96174033
"101",2017,2,1,TRUE,"iid","annual,annua","all groups",369.879682482842,29553.3806203541
"102",2018,2,1,TRUE,"iid","annual,annua","all groups",333.312113797818,30238.8387271423
"103",2019,2,1,TRUE,"iid","annual,annua","all groups",367.681750154517,30945.181772047
"104",2020,2,1,TRUE,"iid","annual,annua","all groups",327.18627887037,31591.9075769324
"105",2021,2,1,TRUE,"iid","annual,annua","all groups",410.680361758379,32256.3751932305
"106",2017,0,1,TRUE,"iid","annual,annua,three","all groups",336.065412579755,33346.9089709205
"107",2018,0,1,TRUE,"iid","annual,annua,three","all groups",308.448276464731,34463.717130523
"108",2019,0,1,TRUE,"iid","annual,annua,three","all groups",317.455135653491,35650.5459375468
"109",2020,0,1,TRUE,"iid","annual,annua,three","all groups",308.083754705343,36803.6212756041
"110",2021,0,1,TRUE,"iid","annual,annua,three","all groups",335.98021741979,37822.3643922613
"111",2017,1,1,TRUE,"iid","annual,annua,three","all groups",364.301410631116,31677.6125573381
"112",2018,1,1,TRUE,"iid","annual,annua,three","all groups",325.97398978764,32845.3384228537
"113",2019,1,1,TRUE,"iid","annual,annua,three","all groups",361.260743705914,33962.1231051373
"114",2020,1,1,TRUE,"iid","annual,annua,three","all groups",330.881697378902,35151.3228360416
"115",2021,1,1,TRUE,"iid","annual,annua,three","all groups",408.630947806293,36304.8682234582
"116",2017,2,1,TRUE,"iid","annual,annua,three","all groups",370.345380172656,30025.1325223525
"117",2018,2,1,TRUE,"iid","annual,annua,three","all groups",319.369069322564,31149.1222971759
"118",2019,2,1,TRUE,"iid","annual,annua,three","all groups",360.87710383667,32317.0789034012
"119",2020,2,1,TRUE,"iid","annual,annua,three","all groups",330.453120561719,33433.130624168
"120",2021,2,1,TRUE,"iid","annual,annua,three","all groups",398.619204421248,34619.6928461804
"121",2017,0,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","all groups",324.993204077094,34033.0217833874
"122",2018,0,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","all groups",294.887877508945,35813.6651150204
"123",2019,0,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","all groups",290.83555298396,37652.0465687676
"124",2020,0,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","all groups",296.156537211071,39149.6289867097
"125",2021,0,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","all groups",305.217996981819,40529.9554174997
"126",2017,1,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","all groups",362.380948783509,32193.3072691528
"127",2018,1,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","all groups",326.812122314342,34048.3697564859
"128",2019,1,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","all groups",356.444402314115,35829.6280432908
"129",2020,1,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","all groups",334.580356452322,37669.5346607155
"130",2021,1,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","all groups",397.104474743995,39167.5471295554
"131",2017,2,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","all groups",367.878959740174,30554.9141828248
"132",2018,2,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","all groups",318.176427634155,32192.4805025065
"133",2019,2,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","all groups",358.191299253163,34048.586487099
"134",2020,2,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","all groups",334.342790330915,35829.5416867138
"135",2021,2,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","all groups",391.490825202635,37662.2603569762
