"","yr","UTM_E_km","UTM_N_km","est"
"121",2019,434.846,5082.586,2.14660203944003
"122",2007,435.006,5081.083,2.06884309666227
"123",2003,434.986,5080.231,2.89786492366427
"124",2013,435.06,5079.48,2.61154676178911
"125",2017,436.145,5082.094,1.29479887041634
"126",2017,436.462,5082.056,1.89577527923617
"127",2008,435.055,5083.699,2.38481059852769
"128",2009,435.055,5083.699,3.85320456860305
"129",2010,435.055,5083.699,4.15755657731338
"130",2011,434.237,5083.568,3.49796471719454
"131",2013,435.055,5083.699,2.54904260340027
"132",2015,435.055,5083.699,2.44395400898737
"133",2016,435.055,5083.699,1.96099655957948
"134",2017,435.055,5083.699,1.89789712968176
"135",2018,435.055,5083.699,1.37709989773371
"136",2019,435.055,5083.699,2.09889598718577
"137",2004,436.61,5084.157,3.40838603025283
"138",2013,436.61,5084.157,2.4477481841235
"139",2015,435.52,5083.906,2.4019072954303
"140",2007,436.938,5084.173,2.05964031051311
"141",2010,436.938,5084.173,3.97049241749491
"142",2008,437.352,5083.848,2.48703909638007
"143",2010,437.511,5084.201,4.23678711799017
"144",2013,437.511,5084.201,2.59103313579071
"145",2015,437.511,5084.201,2.46475473172146
"146",2016,437.511,5084.201,2.18761012062716
"147",2017,437.511,5084.201,2.06958405108391
"148",2018,437.511,5084.201,1.67925114006632
"149",2020,437.511,5084.201,2.50709267380862
"150",2010,437.666,5085.236,4.18044394718089
"151",2011,437.666,5085.236,3.63918459968859
"152",2013,437.666,5085.236,2.46331868513052
"153",2015,437.666,5085.236,2.3877127181488
"154",2016,437.666,5085.236,2.14718580114908
"155",2017,437.666,5085.236,2.04744774471022
"156",2018,437.666,5085.236,1.65653500773419
"157",2019,437.666,5085.236,2.38183240011241
"158",2020,437.666,5085.236,2.41982788868912
"159",2002,437.3,5086.7,3.57239669461749
"160",2013,437.3,5086.7,2.45540081205431
"161",1999,437.67,5086.181,2.0257153116416
"162",2002,437.67,5086.181,3.43194573449674
"163",2005,437.67,5086.181,3.14471354698426
"164",2007,437.856,5086.446,2.15859032894212
"165",2008,437.67,5086.181,2.38173332858331
"166",2010,437.856,5086.446,3.94398747962917
"167",2011,437.67,5086.181,3.47923735967369
"168",2013,437.856,5086.446,2.27444317784468
"169",2017,437.67,5086.181,1.98134987399182
"170",2015,437.856,5086.446,2.23753880427858
"171",2019,437.856,5086.446,2.25489152273513
"172",2005,438.86,5083.886,3.23668754742123
"173",2004,439.335,5084.275,3.48325872915278
"174",2011,439.335,5084.275,3.70369374442564
"175",2011,440.09,5085.305,3.54546298192893
"176",2015,439.658,5084.962,2.22268395642816
"177",2017,440.09,5085.305,1.83355046766208
"178",2020,440.09,5085.305,2.32500252845916
