"","mod","ntree","mtry","mean"
"1",3,1000,11,9.10954531043544
"2",1,600,3,9.29765916078648
"3",5,800,9,9.72468797958236
"4",4,600,9,12.4894758344921
"5",2,200,3,1e+06
