"","UTM_E_km","UTM_N_km","pred"
"500923",477,5100,5.9174493724289
"500924",478,5100,6.28057306511806
"500925",479,5100,6.66597980712347
"500926",429,5099,10.4345455716752
"500927",430,5099,10.5384102959403
"500928",431,5099,10.6433088822814
"500929",460,5099,7.87218865272246
"500930",461,5099,7.64940066323846
"500931",462,5099,7.43291771679242
"500932",463,5099,7.22256137662119
"500933",464,5099,7.01815825583651
"500934",465,5099,6.81953987451029
"500935",466,5099,6.62654252080451
"500936",467,5099,6.43900711603118
"500937",468,5099,6.25677908353127
"500938",469,5099,6.07970822126434
"500939",470,5099,5.90764857800409
"500940",471,5099,5.74045833303755
"500941",472,5099,5.5779996792689
"500942",473,5099,5.460964470534
"500943",474,5099,5.44680947692282
"500944",475,5099,5.66050299598839
"500945",476,5099,6.03715363996217
"500946",477,5099,6.40762297313283
"500947",478,5099,6.8008261201179
"500948",479,5099,7.21815813914293
"500949",480,5099,7.66109969604281
"500950",429,5098,10.3926438081804
"500951",430,5098,10.4960914452728
"500952",431,5098,10.600568792785
"500953",458,5098,8.35159072229224
"500954",459,5098,8.11523534666627
"500955",460,5098,7.88556897981059
"500956",461,5098,7.66240231848549
"500957",462,5098,7.4455514168544
"500958",463,5098,7.23483753486593
"500959",464,5098,7.03008699092682
"500960",465,5098,6.83113101874435
"500961",466,5098,6.63780562822014
"500962",467,5098,6.44995147028081
"500963",468,5098,6.26741370553399
"500964",469,5098,6.09004187664146
"500965",470,5098,5.9176897843042
"500966",471,5098,5.85887695323757
"500967",472,5098,5.84369055781433
"500968",473,5098,5.82854352601108
"500969",474,5098,5.81343575579606
"500970",475,5098,6.01511092342284
"500971",476,5098,6.4780666290702
"500972",477,5098,6.93840024337494
"500973",478,5098,7.36417448480212
"500974",479,5098,7.81607632024293
"500975",480,5098,8.29570906690755
"500976",481,5098,8.80477442940746
"500977",482,5098,9.34507853728852
"500978",483,5098,9.91853835305667
"500979",484,5098,10.5271884734315
"500980",429,5097,10.3509103086289
"500981",430,5097,10.4539425334358
"500982",431,5097,10.5580003336782
"500983",458,5097,8.47682647516815
"500984",459,5097,8.1290287792332
"500985",460,5097,7.89897204938633
"500986",461,5097,7.67542607259314
"500987",462,5097,7.45820659036507
"500988",463,5097,7.24713455884698
"500989",464,5097,7.04203600123973
"500990",465,5097,6.8427418643992
"500991",466,5097,6.64908787949371
"500992",467,5097,6.46091442660491
"500993",468,5097,6.30211857025906
"500994",469,5097,6.28578327846578
"500995",470,5097,6.26949032826841
"500996",471,5097,6.25323960991621
"500997",472,5097,6.23703101394288
"500998",473,5097,6.22086443116589
"500999",474,5097,6.20473975268568
"501000",475,5097,6.39193362263436
"501001",476,5097,6.88389165605894
"501002",477,5097,7.41371345981336
