"","mod","sp","st","mean"
"1",2,TRUE,"iid",413.37196633861
"2",2,FALSE,"iid",417.793704497726
"3",1,TRUE,"iid",449.172889183509
"4",2,TRUE,"FALSE",458.19929612945
"5",1,FALSE,"iid",476.516057538142
"6",1,TRUE,"FALSE",495.004295329325
"7",2,FALSE,"FALSE",560.957598745342
"8",1,FALSE,"FALSE",595.911201267482
